Дата,Цена,Откр.,Макс.,Мин.,Объём,Изм. %
17.09.2024,"12,8969","12,7881","12,9129","12,7437",,"0,11%"
16.09.2024,"12,8828","12,8085","12,8988","12,793",,"1,56%"
13.09.2024,"12,6854","12,5503","12,9023","12,5434",,"1,23%"
12.09.2024,"12,531","12,8562","12,8643","12,53",,"-2,57%"
11.09.2024,"12,8612","12,7767","12,966","12,7227",,"0,65%"
10.09.2024,"12,7785","12,7201","12,8687","12,642",,"0,40%"
09.09.2024,"12,7274","12,7119","12,8315","12,6138",,"-0,12%"
06.09.2024,"12,7427","12,4516","12,7741","12,4493",,"2,44%"
05.09.2024,"12,4393","12,3219","12,7949","12,3179",,"1,12%"
04.09.2024,"12,301","12,3314","12,6482","12,2666",,"-0,21%"
03.09.2024,"12,3271","12,5746","12,6833","12,2295",,"-2,28%"
02.09.2024,"12,6153","12,7728","12,9243","12,517",,"-1,31%"
30.08.2024,"12,7823","12,8917","13,02","12,7612",,"-1,38%"
29.08.2024,"12,9608","12,835","12,9764","12,8304",,"0,95%"
28.08.2024,"12,8384","12,844","12,9096","12,7646",,"-0,02%"
27.08.2024,"12,8413","12,9117","12,9567","12,7612",,"-0,58%"
26.08.2024,"12,9158","12,8609","12,988","12,8093",,"0,59%"
23.08.2024,"12,8406","12,7801","12,8783","12,7663",,"0,50%"
22.08.2024,"12,7773","12,8284","12,95","12,6981",,"-0,36%"
21.08.2024,"12,8235","12,7796","12,9441","12,7395",,"0,36%"
20.08.2024,"12,7771","12,6052","12,864","12,4712",,"1,58%"
19.08.2024,"12,5788","12,5117","12,6252","12,4586",,"0,77%"
16.08.2024,"12,4828","12,3815","12,6903","12,2319",,"0,79%"
15.08.2024,"12,3844","12,5404","12,6428","12,3268",,"-1,54%"
14.08.2024,"12,5778","12,8572","13,0104","12,3264",,"-0,54%"
13.08.2024,"12,6461","12,6747","13,4455","12,6189",,"-0,28%"
12.08.2024,"12,6812","12,3513","12,7916","12,3186",,"2,61%"
09.08.2024,"12,3588","12,083","12,4194","12,0777",,"2,31%"
08.08.2024,"12,0792","11,9502","12,1581","11,9467",,"1,09%"
07.08.2024,"11,9494","11,9115","12,0085","11,8087",,"-0,17%"
06.08.2024,"11,9692","11,8515","12,0068","11,8208",,"0,56%"
05.08.2024,"11,9023","11,957","12,1811","11,868",,"-0,31%"
02.08.2024,"11,9397","11,8021","11,9464","11,7985",,"1,17%"
01.08.2024,"11,8013","11,934","11,9502","11,7609",,"-1,09%"
31.07.2024,"11,9318","11,8618","11,9803","11,7732",,"0,90%"
30.07.2024,"11,825","11,8953","11,9551","11,8257",,"-0,63%"
29.07.2024,"11,8994","11,8711","11,9875","11,7581",,"0,23%"
26.07.2024,"11,8721","11,7541","12,0485","11,7231",,"1,02%"
25.07.2024,"11,7525","11,8768","11,9889","11,7348",,"-1,02%"
24.07.2024,"11,8736","12,0748","12,0776","11,8605",,"-1,67%"
23.07.2024,"12,0751","12,079","12,1383","11,8123",,"-0,02%"
22.07.2024,"12,077","12,0573","12,1687","12,007",,"0,12%"
19.07.2024,"12,063","12,1756","12,1756","11,9742",,"-0,91%"
18.07.2024,"12,1742","12,1878","12,1969","12,0592",,"-0,10%"
17.07.2024,"12,1861","12,1757","12,2016","12,0944",,"0,20%"
16.07.2024,"12,1613","12,1294","12,2386","12,0294",,"-0,06%"
15.07.2024,"12,168","12,1016","12,2017","12,0061",,"0,41%"
12.07.2024,"12,1187","11,9869","12,1577","11,9783",,"1,11%"
11.07.2024,"11,9858","12,1447","12,182","11,9862",,"-1,28%"
10.07.2024,"12,1417","12,0315","12,2317","11,9997",,"2,09%"
09.07.2024,"11,8933","12,0036","12,1701","11,894",,"-0,19%"
08.07.2024,"11,9164","12,11","12,3838","11,9176",,"-1,57%"
05.07.2024,"12,1061","12,2487","12,5878","12,07",,"-1,11%"
04.07.2024,"12,2421","12,1729","12,256","11,9656",,"1,32%"
03.07.2024,"12,0823","12,0817","12,1728","11,9038",,"0,01%"
02.07.2024,"12,081","11,9325","12,2055","11,8754",,"1,23%"
01.07.2024,"11,9346","11,7994","12,0454","11,6826",,"1,15%"
28.06.2024,"11,7988","11,6937","12,1452","11,6749",,"0,90%"
27.06.2024,"11,693","12,1445","12,3738","11,2895",,"-3,71%"
26.06.2024,"12,1438","12,0474","12,4131","11,6271",,"-0,05%"
25.06.2024,"12,15","12,1201","12,4192","11,5532",,"0,24%"
24.06.2024,"12,1209","12,2675","12,7126","11,6271",,"-1,19%"
21.06.2024,"12,267","12,0344","13,1315","11,551",,"2,08%"
20.06.2024,"12,0165","11,4545","12,4128","11,3136",,"4,44%"
19.06.2024,"11,5062","11,8203","12,1956","11,2106",,"-2,22%"
18.06.2024,"11,7678","12,2289","12,538","11,6141",,"-3,75%"
17.06.2024,"12,2269","12,3527","12,7321","11,9357",,"-1,00%"
